"asistente","codigoAudiencia"
"Isabel de las Mercedes Cáceres Ramírez","aq0011732191"
"Luis Gutierrez","as0041549411"
"VICTOR FARIAS","as0041549411"
"Alejandro Fonseca","as0041575621"
"Roberto Ernesto Leiva Latín","as0041612801"
"Jorge Antonio Goméz Rojas","as0041612801"
"Gonzalo Walker","au0021528911"
"Priscilla Elena Castillo Gerli","au0041724291"
"Javier Antonio Muñoz Riquelme","au0041724291"
"Fernando Jose Rodriguez Larraín","av0011545281"
"Andrea Perez de Castro","av0011675311"
"Samuel Serrano Verdugo","ao0441733551"
"JORGE PATRICIO ALGUERNO IBAÑEZ","au0041739311"
"Andrea Perez de Castro","av0011545201"
"Verónica Esperanza Bravari Rodriguez","aw0021521601"
"Gastón Caceres","aw0021564931"
"Dagoberto Bettacourt","aw0021720001"
"OSCAR CRUZ","ap0121617071"
"Doris Elizabeth Roa Moraga","as0042059141"
"Doris Elizabeth Roa Moraga","as0042059171"
"Roberto Díaz","ao0451853181"
"JORGE IVÁN CANTALLOPTS ARAYA","as0011511631"
"Christian Alberto Orellana Diaz","as0011663321"
"Victor Gonzalez Herrera","aw0031731991"
"Alejandro Fonseca","as0041546151"
"LUIS CURAMIL ANTINAO","ba0021724421"
"Carlos Oyarzo","as0041675181"
"susan henry henry","aw0031581921"
"Abel Rubén Painefilo Barriga","ap0011577641"
"Jorge Alcaíno Vargas","ap0011585251"
"Fuad Chahin Valenzuela.","ap0011636701"
"Marcos Edgardo Hernandez Rojas","ap0011636701"
"alicia morales ñanculeo","ap0011636701"
"Juan Eduardo Delgado Castro","ap0011699861"
"Jaime Quintana Leal","ap0011699861"
"Fuad Chahin Valenzuela.","ap0011699861"
"CARMEN ARANEDA GARCIA","ap0011500361"
"Brigida del Carmen Morales Cortes","ap0011500361"
"Iván Gabriel González Hernández","ap0011609131"
"christian Lucero","ap0011617031"
"Leonardo Enrique Soto Ferrada","ap0011632151"
"Pedro Andrés Sepúlveda Pavéz","ap0011632151"
"María Eugenia Iriondo","ap0011643091"
"Miguel Donoso","as0041678371"
"Doris Elizabeth Roa Moraga","as0042059231"
"Verónica Esperanza Bravari Rodriguez","as0042117951"
"Eduardo Enrique Rojas Gómez","as0042484791"
"Walter Roberto Gallardo Cuevas","au0041692201"
"Maria Paz Gonzalez Valdivia","au0041724541"
"Alfredo Rubilar Riquelme","av0011545161"
"Felipe Avendaño","av0011627311"
"GABRIELA JEREZ","aw0021747141"
"FRANKLIN RICARDO ZEPEDA GODOY","aw0041529851"
"XIMENA LEANDRA CANALES POBLETE","aw0041538961"
"BERNARDO GREZ","aw0041747051"
"LUIS CURAMIL ANTINAO","ba0011748571"
"Angela María Prado Concha","mu0571722921"
"RICARDO RIVERA TRONCOSO","ao0503512111"
"FELIPE VIDAL VALENZUELA","ao0521695571"
"ROBERTO MARTINEZ MARTINEZ","mu0611694281"
"ANGELA SOTO","mu0611694281"
"LORENA VELIZ","mu0041782741"
"Mario Mazzarelli","mu0041782741"
"MIGUEL EDUARDO VARGAS CORREA","ap0011491301"
"Iris Contreras Allende","ap0011625221"
"Rodrigo Heraldo Ortiz Schneier","ap0011681621"
"Jaime Aurelio Quilodrán Acuña","ap0011686771"
"Cristian eduardo Valdivia Gutierrez","ap0011696541"
"Jose Aravena castillo","ap0011696541"
"Mario Navarro Pereira","ap0011747451"
"JAIME ITURRIGA","as0043172701"
"Angela María Prado Concha","mu0571652951"
"Angela María Prado Concha","mu0571653211"
"HENRY GARCIA CASTILLO","mu0051547741"
"Cristian eduardo Valdivia Gutierrez","mu0671695591"
"Jose Aravena castillo","mu0671695591"
"Roberto Antonio Torres Tordoya","mu0121570961"
"Angela María Prado Concha","mu0571722491"
"CRISTIAN AZOCAR CORTEZ","mu0581499091"
"Jorge Francisco Wachholtz Muzard","aw0041827361"
"Pamela Alejandra Tapia Inostroza","mu1201702561"
"Marcel Cataldo Lagos","mu1201702561"
"Rafael Oscar Vargas Caverlotti","mu1241657681"
"Rafael Oscar Vargas Caverlotti","mu1241672731"
"Pilar Díaz Cisternas","mu1091721151"
"Paulina Aravena Taria","mu1021724491"
"MARIO PAVEZ","mu1161716251"
"Luis Ernesto Hueramán Rivas","mu1481652241"
"Paulina Andrea Reinoso Ríos","mu1241617111"
"Rafael Oscar Vargas Caverlotti","mu1241671621"
"Angela María Prado Concha","mu0571652521"
"Angela María Prado Concha","mu0571653351"
"Angela María Prado Concha","mu0571722601"
"Miguel Ramírez","mu1601650891"
"pedro jose Enrich Osorio","mu0611782261"
"ELIZABETH CISTERNA D.","mu0881620711"
"Luis Alberto Quidel Marinao","mu0721528441"
"Magaly Santibáñez","mu1601650891"
"FRANCISCO JARAMILLO DEL VALLE","mu1731526461"
"VICENTE DE LA FUENTE URRUTIA","mu1731635411"
"José Alberto Jiménez Pontigo","mu1731701551"
"Irma Cubillos","mu1201515691"
"Rafael Oscar Vargas Caverlotti","mu1241671491"
"Rafael Oscar Vargas Caverlotti","mu1241673011"
"JUAN VILLARROEL","mu1622255171"
"JAVIER EDUARDO VIÑALES IRIARTE","mu135lc001ap-00019531"
"CHRISTIAN FONTECILLA","mu135lc001ap-00023581"
"MARICRUZ GREDILLA","mu135lc001ap-00023581"
"Ricardo Andrés Retamal Ortiz","mu2121781161"
"laly castro restovich","mu2341560451"
"DANILO CARDENAS","mu2391518661"
"Luis Alejandro Lepori Cárdenas","mu2391639721"
"Pamela Galleguillos","mu2831620961"
"fernando javier smith monks","mu2071712481"
"Mario Jerez","mu2121541751"
"Andrea Gumucio","mu2321552171"
"Rodrigo Andres Santana Torres","mu2391638851"
"Marcelo Arellano","mu2651611221"
"Isabel Mascaró Jory","mu1861948851"
"Cristian ¨Paulsen","mu1912540241"
"Luis Nuñez","mu2941580081"
"Ernesto Werner Landolt Gonzalez","mu2392175831"
"RITA ISABEL LILLO CORREA","mu2951549831"
"RITA ISABEL LILLO CORREA","mu2951591041"
"VERONICA ELIZABETH SCHULZE TERREROS","mu2951591041"
"LEONEL ANTONIO MUENA GALLEGOS","mu2951633961"
"Ruben Eduardo Rioseco Contreras","mu2911557051"
"Diego Alejandro Aguilar Izquierdo","mu135lc001ap-00018661"
"Andre Böck","mu135lc001ap-00020211"
"JAIME ESCUTI D.","mu135lc001ap-00020551"
"HERNAN FELIPE VALDES","mu135lc001ap-00022441"
"Pablo Delannoy","mu135lc001ap-00023081"
"CECILIA GONZALEZ SAAVEDRA","mu1761592851"
"Angel Atencio","mu1761745041"
"Juan Antonio Canovas","mu1771674641"
"LEONEL ANTONIO MUENA GALLEGOS","mu2951679881"
"Gonzalo Elgueta Ortiz","mu2991570581"
"Rodrigo Aljaro","mu2991667471"
"Horacio Francisco González Román","mu3081575711"
"Mario Ferrada Figueroa","mu3391705421"
"ANDRES LAGOMARSINO THOMSEN","mu3401563051"
"MAURICIO BENEDICTO OPORTO PORTALES","nr00245081"
"PAULINA  REINOSO  RIOS","nr00245101"
"CLAUDIA PIZARRO PEÑA","nr00245101"
"CRISTIAN FERNANDO ASCUI CASTRO","mu0351719491"
"MONICA MUÑOZ SEPULVEDA","nr00246111"
"JUAN CARLOS HERNANDEZ CONTRERAS","nr00246531"
"EDUARDO TORRES ARANEDA","nr00246571"
"RODOLFO FIGUEROA FERNÁNDEZ","nr00247151"
"CHRISTIAN SAN MARTIN ROMO","nr00245461"
"ANTOINE  PEÑALOZA CARRILLO","nr00246011"
