"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"760738662r","EGIS CONSTRUYENDO CHILE","ed1f98b3c5bbc76498f0afa6e61b13cd","JUAN ANTONIO GARCIA GOMEZ","Lobista","ap0152312281"
"760738662r","EGIS CONSTRUYENDO CHILE","ed1f98b3c5bbc76498f0afa6e61b13cd","JUAN ANTONIO GARCIA GOMEZ","Lobista","ap0152312291"
"760738662r","EGIS CONSTRUYENDO CHILE","ec833309adb5544ee8ab63266ded0230","katherine mitre","Lobista","ap0152312281"
"760743275r","Consultora Community Housing Latino América SpA","03f2ee52740ad1d561aab7e6b07bebea","MICHAEL BIER","Gestor","ap0122257191"
"76076826kr","Inversiones La Estancilla S. A.","90bf0c2f29799e7a407caa664b85b9f6","Tatiana Silva Cornejo","Gestor","aw0042322901"
"76079998kr","inmobiliaria Antyl SA","2fdc8c1ef7e7baca91f668c3107c2d96","MARCELA ROJAS","Gestor","mu1252237981"
"76079998kr","inmobiliaria Antyl SA","2fdc8c1ef7e7baca91f668c3107c2d96","MARCELA ROJAS","Gestor","mu1252333701"
"760822493r","Franco Gestión Estratégica y Ambiental S.A.","3dc3fdbb864368489cf901adf91189cb","Alejandro Cancino Esparza","Gestor","aw0042283681"
"760838489r","Disarte Sl","e206c349e04b2ced991b174b744cb182","Karime Silvana Chandia Camps","Lobista","av0012249261"
"760849456r","Gador Limitada","2af068fc05225bab2ddf41f049a3e895","Cristian Bernardo Placencia Vicinay","Gestor","ao0032532681"
"760849456r","Gador Limitada","2af068fc05225bab2ddf41f049a3e895","Cristian Bernardo Placencia Vicinay","Gestor","ao0012277921"
"760849456r","Gador Limitada","2af068fc05225bab2ddf41f049a3e895","Cristian Bernardo Placencia Vicinay","Gestor","ao0032531341"
"760917478r","ARRIGONI INGENIERÍA Y CONSTRUCCIÓN","73ae5741ffcb51e82be260765fe27ca7","Leonardo Daneri","Gestor","am0012291231"
"760917478r","ARRIGONI INGENIERÍA Y CONSTRUCCIÓN","73ae5741ffcb51e82be260765fe27ca7","Leonardo Daneri","Gestor","am0012291291"
"760917478r","ARRIGONI INGENIERÍA Y CONSTRUCCIÓN","73ae5741ffcb51e82be260765fe27ca7","Leonardo Daneri","Gestor","am0012388811"
"760917478r","ARRIGONI INGENIERÍA Y CONSTRUCCIÓN","73ae5741ffcb51e82be260765fe27ca7","Leonardo Daneri","Gestor","au0042300471"
"760939773r","cramick s.a.","e6e02e2dc8d0e2fbb193f196a9510510","DAMIR SOLAR","Gestor","mu1632194611"
"760939773r","cramick s.a.","e6e02e2dc8d0e2fbb193f196a9510510","DAMIR SOLAR","Gestor","ad0062237971"
"760955558r","Inmobiliaria Porto Alto Ltda.","e2f82fa1e112004f91b81bb22c629987","Juan Andrés Peirano Varas","Lobista","ap0012233841"
"760955558r","Inmobiliaria Porto Alto Ltda.","e2f82fa1e112004f91b81bb22c629987","Juan Andrés Peirano Varas","Lobista","mu0632257421"
"760997749r","Biogen Chile SpA","3545a43190d361e108920f2e0a5f8e51","Rodolfo Nerety","Gestor","ao0042214241"
"760997749r","Biogen Chile SpA","3545a43190d361e108920f2e0a5f8e51","Rodolfo Nerety","Gestor","ao0042330131"
"760997749r","Biogen Chile SpA","8472a8bd1fca3d7fcd1986d89e66a87e","Ramiro López Dibberns","Gestor","ao0042214241"
"760997749r","Biogen Chile SpA","8472a8bd1fca3d7fcd1986d89e66a87e","Ramiro López Dibberns","Gestor","ao0042330131"
"760997749r","Biogen Chile SpA","b1cb89884ec8b51f9d08fca112a06ab2","Bartolomé Cordero","Gestor","ao0042214241"
"760997749r","Biogen Chile SpA","b1cb89884ec8b51f9d08fca112a06ab2","Bartolomé Cordero","Gestor","ao0052672441"
"760997749r","Biogen Chile SpA","d37043d3c14ec97b5b31c269f5e91388","Daniel Basilio","Gestor","ao0042214241"
"760997749r","Biogen Chile SpA","d37043d3c14ec97b5b31c269f5e91388","Daniel Basilio","Gestor","ao0042330131"
"760997749r","Biogen Chile SpA","d4a8852400220e9710dee2cfe37e17a4","Lorena Ivonne González Villalobos","Gestor","ao0042214241"
"760997749r","Biogen Chile SpA","d4a8852400220e9710dee2cfe37e17a4","Lorena Ivonne González Villalobos","Gestor","ao0042330131"
"760997749r","Biogen Chile SpA","d37043d3c14ec97b5b31c269f5e91388","Daniel Basilio","Lobista","ao0052672441"
"761033867r","STRATEGIKA SPA","32b9b87ab7bc15589cb4bc0b72b74666","Paul VenturinodelCanto","Lobista","ae0072292841"
"761050508r"," Salud y Vida ","3d88283bd79b811e1f111116ac01a0ec","Juan Lagos","Gestor","aj0092526411"
"761050508r"," Salud y Vida ","75a44be537d0bdf6827f2ccd439762fa","Cristian Baquedano","Gestor","aj0092526411"
"761050508r"," Salud y Vida ","75a44be537d0bdf6827f2ccd439762fa","Cristian Baquedano","Gestor","aj0012322571"
"761050508r"," Salud y Vida ","75a44be537d0bdf6827f2ccd439762fa","Cristian Baquedano","Gestor","aj0092253361"
"761071912r","SII Group Chile SpA","4a510b02d544a0fc0660576aa50c2cf7","Carolina Andrea Castillo Saez","Gestor","ad0132683501"
"761097792r","Melón S.A.","1b0344a1be6268711f6e0ffc34f877e8","MARIELA LAS HERAS","Gestor","mu2812992591"
"761154826r","Patagonia Gestión SpA","7b01cb4017c7b831f523450095979338","Cristian Armando Ibarra Chaparro","Lobista","ao0292388851"
"761154826r","Patagonia Gestión SpA","beacce52cfd1e4414cc9753a0f7ae738","HIbert Seal Campos","Lobista","ao0292388831"
"761166042r","Bluemedical","6cad4a65f840f23692e9430b516f9c9d","MICHAEL KANDALAF GONZALEZ","Gestor","ab0362366921"
"761166042r","Bluemedical","6cad4a65f840f23692e9430b516f9c9d","MICHAEL KANDALAF GONZALEZ","Gestor","ao0202370901"
"761166042r","Bluemedical","910200b0ac2b65f5399c157096740ade","Diana Nicols Torres Portales","Gestor","ab0362366921"
"761166042r","Bluemedical","9cf87e0f20d75723fbe00973afaf7066","Camilo Navarro","Gestor","ao0092321991"
"761166042r","Bluemedical","9e1edcc842a297cdadcc600716b33f8b","Carlos Pinto","Gestor","ao0072306041"
"761166042r","Bluemedical","9e1edcc842a297cdadcc600716b33f8b","Carlos Pinto","Gestor","ao0092286681"
"761210041r","Worldline Chile S.A.","006108d56293c6302bf40128a555762b","Ariel Galarce Suarez","Lobista","ae0062215121"
"761210041r","Worldline Chile S.A.","7a48ebaf781eccadf976e4fc26f704b8","Pablo Toro","Lobista","ae0062215121"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","55f82d56b43ea9a8bcacfa2591d4dc23","Antonio Simonetti","Lobista","ai0032907611"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","55f82d56b43ea9a8bcacfa2591d4dc23","Antonio Simonetti","Lobista","ao0112940661"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","55f82d56b43ea9a8bcacfa2591d4dc23","Antonio Simonetti","Lobista","ai0062303331"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","a71074350e6e781234e706bcb8d2e169","CLAUDIA ARTIGAS","Lobista","ai0032907611"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","a71074350e6e781234e706bcb8d2e169","CLAUDIA ARTIGAS","Lobista","ao0112940661"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","a71074350e6e781234e706bcb8d2e169","CLAUDIA ARTIGAS","Lobista","ai0062303331"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","e3df3559276a6853b64e55f000f56a4a","RONNY SAA","Lobista","ai0032907611"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","e3df3559276a6853b64e55f000f56a4a","RONNY SAA","Lobista","ao0112940661"
"761240374r","Importadora Vive Mas (Articulos e Insumos Medicos)","e3df3559276a6853b64e55f000f56a4a","RONNY SAA","Lobista","ai0062303331"
"761252704r","TECO NATURAL RESOURCE GROUP CHILE SPA","3c1f6f9435d05b87af8d3d2555304033","Nadia Yohana Gutiérrez Fuentes","Gestor","ak0062235671"
"76127497kr","Rucalhue Energia SpA","8a6a045cb3f66dce8865887c24354d17","Rafael Goldzack","Gestor","aw0032290381"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","67ea02169691c35169ea53bd96262e9a","María Jesús Castro Larrain","Gestor","au0022276951"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","964a4f3527009d49e12b571d94aeba57","Denise Schlesinger","Lobista","aw0022374381"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","a69adfb8fe3842aaf8a6ee12f0be4701","Natalio Dorfman","Lobista","ae0012341571"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","a69adfb8fe3842aaf8a6ee12f0be4701","Natalio Dorfman","Lobista","aw0022374381"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","ac29704793184861f31e1731bd5ec644","Marcela Alt","Lobista","ae0012341571"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","ac29704793184861f31e1731bd5ec644","Marcela Alt","Lobista","aw0022374381"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","ede6c79ac1353fe38dd172e9dde19b1c","Moisés Valenzuela Martínez","Lobista","aw0042248321"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","ede6c79ac1353fe38dd172e9dde19b1c","Moisés Valenzuela Martínez","Lobista","aw0042284771"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","4095e7c35a87d76fe995f44125b111cf","Natalia Labbe","Lobista","ab0802310791"
"76127547kr","Consultora Asuntos Públicos / Imaginaccion","4095e7c35a87d76fe995f44125b111cf","Natalia Labbe","Lobista","as0042362221"
"761292633r","Agrosuper SA","fb610650008a9f85d7db7e0a2a3d2e90","MARIA INES HERRERA ABALOS","Gestor","mu0512183041"
"761292633r","Agrosuper SA","00e463a259388a5f3250797c74867d39","rafael prieto","Gestor","mu0512183041"
"761292633r","Agrosuper SA","0a438dcfd297213981bbe96ce156683e","GRACIELA GONZALEZ HERMOSILLA","Gestor","ae0062263621"
"761292633r","Agrosuper SA","14cc637c62ffe37a67bc53d214e2c411","Martin Jose Landea Lira","Gestor","ap0012181871"
"761292633r","Agrosuper SA","14cc637c62ffe37a67bc53d214e2c411","Martin Jose Landea Lira","Gestor","mu0512183041"
"761292633r","Agrosuper SA","791ca9e9a7d661ce9ed3351d0899f235","Carlos Andrés Vives Cornejo","Gestor","mu0512228481"
