"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"1ff98f3597b7ef9a119d51dec020ba2b","DAYANAOLGA BARRIOSNUÑEZ","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6901",,,
"2423555a42e71a03ebad70f6351b17f6","JAVIER SOTO","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6481",,,
"3edcf603b5e8e675a76eede1c310f530","Ruggero Ignacio Cozzi Elzo","http://datos.infolobby.cl/infolobby/entidad/650564871r","650564871r","Comunidad y Justicia","co001indh-11",,,
"a55da154b2424924f6a5c786dcb4798f","Juan Andres Campiglia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6901",,,
"f4524f80e951ff2886249c82195cd749","MiguelAngel RendónEscobar","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6601",,,
"02365f3018374d7ea05d9a492e45139c","Eusebio PerezGutiérrez","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6851",,,
"0345f4a90e2931fdacb170c06fb62f4e","Jorge Mahú","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6651",,,
"1714519ccce173d2d4932c1d5e3c34f8","Paloma LizamaTapia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6591",,,
"1be2f957b751200b5fb91185cd6fd804","Alejandro Guarello","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6651",,,
"1e47e489503233d3373687f4192f375f","GabrielaLeonor TorresPincheira","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6881",,,
"262f803351711fdc492764be7b88d618","Manola Verdugo","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7191",,,
"356129ad446b14abcbaed89097de4eb8","Hugo Álvarez","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6711",,,
"36320656fbbfdf77794f6cea81505336","Hernan Murua","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6721",,,
"36508022da043791b5746cd4124a0e62","José Quiñones","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6711",,,
"59f59baf7b581cecf40a1ab972e39a88","Muriel Sciaraffia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6531",,,
"5e25347cdb41cf97a6a340cd46c4efeb","Magdalena MellaInostroza","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7191",,,
